barcelosmota93|27|17|20|24|30|23|17|24|27|23|24|21
alexandre.decastro87|31|28|21|28|28|35|21|28|15|28|21|15
alexandre.borzani|21|14|28|24|28|31|14|28|10|21|14|17
agr.matheus|21|14|11|22|21|27|17|14|24|31|18|21
marcotulioacalves|24|17|27|30|23|20|33|30|21|17|20|13
palmasamuel|30|17|24|21|27|24|31|28|27|23|17|20
jabpaiva|38|17|10|21|45|41|14|13|14|20|14|10
kaioodetectt|27|24|28|24|28|34|21|24|17|38|17|20
felipefs.br|34|14|21|24|38|20|24|21|17|28|14|20
danielhorta|24|16|25|27|31|27|20|24|20|24|16|20
maurobarros|34|17|24|27|24|21|24|21|24|27|16|19
hugogabrielkpc|31|21|24|27|28|24|17|30|20|27|30|17
jp.martinsvieira|31|20|24|27|32|34|21|27|21|24|17|19
mulekot|28|17|30|27|34|24|24|30|24|20|17|14
jr.agnaldo89|24|27|24|27|31|21|27|24|17|21|14|21
moi.robles|31|14|23|28|21|17|28|31|17|34|34|27
guimaraesvip25|32|17|27|31|32|35|27|24|20|34|21|24
thearchanjo33|26|15|20|25|30|18|15|25|15|20|25|20
